fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,prev_quarter_EPS,estimatedEPS_change,estimatedEPS_pct_change,as_of,garch_vol,atm_iv,iv_garch_spread,surprise_norm,garch_vol_lag1,atm_iv_lag1,iv_garch_spread_lag1,garch_vol_roll5_mean,garch_vol_roll5_std,garch_vol_roll10_mean,garch_vol_roll10_std,atm_iv_roll5_mean,atm_iv_roll5_std,atm_iv_roll10_mean,atm_iv_roll10_std,iv_garch_spread_roll5_mean,iv_garch_spread_roll5_std,iv_garch_spread_roll10_mean,iv_garch_spread_roll10_std,strike,call_ask,put_ask,straddle_cost,underlying,underlying_t1,abs_move,return,breakeven_pct,realized_vol
2010-01-31,2010-02-17,0.006,0.005,0.001,20.0,,,,2010-02-16,0.43000992027472695,,,0.2,,,,,,,,,,,,,,,,7.0,5.8,0.07,587.0,0.44725000858306885,0.3154262602329254,668.4573739767075,0.13876895055657149,13.124650390945158,5.543264015975611
2010-04-30,2010-05-13,0.006,0.005,0.001,20.0,0.006,-0.001,-0.16666666666666666,2010-05-12,0.3817418563526429,,,0.2,0.43000992027472695,,,,,,,,,,,,,,,7.0,5.8,0.07,587.0,0.36550000309944153,0.3154262602329254,668.4573739767075,0.13876895055657149,16.060191382277363,2.338971523043454
2010-07-31,2010-08-12,0.001,0.003,-0.002,-66.6667,0.006,-0.003,-0.5,2010-08-11,0.46330183966633315,,,-0.6666666666666666,0.3817418563526429,,,0.425017872097901,0.04100851287576973,,,,,,,,,,,7.0,5.8,0.07,587.0,0.21799999475479126,0.3154262602329254,668.4573739767075,0.13876895055657149,26.926606152457204,5.86451773339875
2010-10-31,2010-11-11,0.004,0.004,0.0,0.0,0.001,0.003,3.0,2010-11-10,0.4492022031442301,1.58069,1.1314877968557697,0.0,0.46330183966633315,,,0.4310639548594833,0.03559989540098478,,,,,,,,,,,7.0,5.8,0.07,587.0,0.3109999895095825,0.3154262602329254,668.4573739767075,0.13876895055657149,18.87459870740328,0.22433938186121405
2011-01-31,2011-02-16,0.006,0.004,0.002,50.0,0.004,0.0,0.0,2011-02-15,0.4790975184490172,0.01976,-0.4593375184490172,0.5,0.4492022031442301,1.58069,1.1314877968557697,0.44067066757739004,0.03757604370663247,0.44067066757739004,0.03757604370663247,,,,,,,,,10.0,12.65,0.01,1266.0,0.5712500214576721,0.5320528149604797,946.794718503952,-0.25213687321962713,22.1619247692896,1.1284269955248716
2011-04-30,2011-05-12,0.006,0.005,0.001,20.0,0.006,-0.001,-0.16666666666666666,2011-05-11,0.4339854892518643,0.01976,-0.4142254892518643,0.2,0.4790975184490172,0.01976,-0.4593375184490172,0.44146578137281756,0.037335356195654076,0.4395564711898024,0.03371966562786296,0.5400699999999999,0.9012033556861625,,,0.08597492971829607,0.9057216130285766,,,13.0,6.9,0.01,691.0,0.4950000047683716,0.4185817837715149,1258.1418216228485,0.820755168774021,13.959595825122141,2.661924473975826
2011-07-31,2011-08-11,0.006,0.006,0.0,0.0,0.006,0.0,0.0,2011-08-10,0.6982026283960723,0.01976,-0.6784426283960723,0.0,0.4339854892518643,0.01976,-0.4142254892518643,0.5047579357815034,0.10942245272359263,0.4765059222192695,0.1024907153259845,0.4099925,0.780465,,,-0.10512945981029602,0.8324489840183048,,,9.0,4999.5,4999.5,999900.0,0.3084999918937683,0.29525381326675415,870.4746186733246,-0.9991294383251592,32411.670219567288,0.6966757432455868
2011-10-31,2011-11-10,0.007,0.006,0.001,16.6667,0.006,0.0,0.0,2011-11-09,0.5347005735046662,0.01976,-0.5149405735046662,0.16666666666666666,0.6982026283960723,0.01976,-0.6784426283960723,0.5190376825491699,0.10729805502682047,0.48378025362994415,0.09709301183227957,0.33194599999999996,0.6980691176237493,0.33194599999999996,0.6980691176237493,-0.18709168254917005,0.7438531528644043,-0.18709168254917005,0.7438531528644043,5.0,9.4,0.05,945.0000000000001,0.36675000190734863,0.3433929979801178,465.6607002019882,-0.5072373542836104,25.766871031638974,1.0446198350509324
2012-01-31,2012-02-15,0.005,0.005,0.0,0.0,0.007,-0.002,-0.2857142857142857,2012-02-14,0.40829788052091726,0.01976,-0.38853788052091726,0.0,0.5347005735046662,0.01976,-0.5149405735046662,0.5108568180245074,0.11522062239225969,0.4753933232844967,0.09424296649567417,0.01976,0.0,0.27991499999999997,0.6372470040337578,-0.49109681802450755,0.11522062239226016,-0.2206660488777946,0.6703860371959308,6.0,10.25,0.02,1027.0,0.4097500145435333,0.36517027020454407,563.4829729795456,-0.45133108765380175,25.06406256370951,1.828481608570568
2012-04-30,2012-05-11,0.003,0.002,0.001,50.0,0.005,-0.003,-0.6,2012-05-10,0.2883048944798521,0.01976,-0.2685448944798521,0.5,0.40829788052091726,0.01976,-0.38853788052091726,0.47269829323067436,0.15357694145731263,0.4566844804040322,0.10674776398624607,0.01976,0.0,0.24275,0.5899760848542931,-0.45293829323067447,0.15357694145731296,-0.2275058839638028,0.612243428545716,5.0,8.95,0.09,903.9999999999999,0.3362500071525574,0.30281853675842285,469.7181463241577,-0.4804002806148697,26.884757792431902,1.6623977460516668
2012-07-31,2012-08-09,0.006,0.004,0.002,50.0,0.003,0.001,0.3333333333333333,2012-08-08,0.3487249456028262,7.90249,7.553765054397174,0.5,0.2883048944798521,0.01976,-0.2685448944798521,0.4556461845008668,0.1633710083361021,0.44855598293684223,0.11197160866846231,1.596306,3.5252640256553835,1.2002175,2.762661642157794,1.1406598154991332,3.5882575389308573,0.7451529833313193,2.8088815093236708,5.0,11.65,0.03,1168.0,0.35624998807907104,0.3351404666900635,466.48595333099365,-0.6006113413262041,32.78596600937311,0.969661780218999
2012-10-31,2012-11-08,0.008,0.007,0.001,14.2857,0.006,0.001,0.16666666666666666,2012-11-07,0.3925999631629934,0.01976,-0.3728399631629934,0.14285714285714285,0.3487249456028262,7.90249,7.553765054397174,0.394525651454251,0.09113581240297754,0.4496417936178772,0.11130235553043033,1.596306,3.5252640256553835,1.0690555555555556,2.6140185598906482,1.201780348545749,3.551944465486539,0.6209315448319512,2.6537647048652486,8.0,0.0,0.0,0.0,0.3187499940395355,0.2794366180896759,772.0563381910324,inf,0.0,2.0895865490615178
2013-01-31,2013-02-13,0.007,0.006,0.001,16.6667,0.008,-0.002,-0.25,2013-02-12,0.2670881402594042,0.01976,-0.2473281402594042,0.16666666666666666,0.3925999631629934,0.01976,-0.3728399631629934,0.3410031648051986,0.06223136831938063,0.4300204236771843,0.12507028558756036,1.5963059999999998,3.5252640256553835,0.964126,2.486757444684409,1.2553028351948015,3.521494687942815,0.5341055763228157,2.5170137567051727,5.0,7.65,0.02,767.0,0.3109999895095825,0.2897758185863495,471.02241814136505,-0.3858899372342046,24.66238025311468,1.1220942520514317
2013-04-30,2013-05-09,0.0045,0.002,0.0025,125.0,0.007,-0.005,-0.7142857142857143,2013-05-08,0.244771599058965,0.01976,-0.225011599058965,1.25,0.2670881402594042,0.01976,-0.2473281402594042,0.30829790851280814,0.06098102030256464,0.4095773632686578,0.13766028484111326,1.596306,3.5252640256553835,0.808033,2.4927380980139087,1.2880080914871919,3.5031225251733407,0.3984556367313422,2.517794638400545,8.0,7.5,0.86,836.0,0.3412500023841858,0.3375149369239807,766.2485063076019,-0.0834348010674618,24.498168327008983,0.1747082710560857
2013-07-31,2013-08-08,0.004,0.003,0.001,33.3333,0.0045,-0.0014999999999999996,-0.33333333333333326,2013-08-07,0.18971882821255007,0.01976,-0.16995882821255007,0.3333333333333333,0.244771599058965,0.01976,-0.225011599058965,0.28858069525934776,0.08153553601174168,0.3806394942450111,0.1511746256733315,1.596306,3.5252640256553835,0.808033,2.4927380980139087,1.3077253047406523,3.4924323974785394,0.427393505754989,2.5084860523757633,10.0,0.0,0.0,0.0,0.367000013589859,0.33806291222572327,966.1937087774277,inf,0.0,1.303771363833911
2013-10-31,2013-11-07,0.005,0.005,0.0,0.0,0.004,0.001,0.25,2013-11-06,0.1495091090317392,0.01976,-0.1297491090317392,0.0,0.18971882821255007,0.01976,-0.16995882821255007,0.2487375279451304,0.09270701142474153,0.3521918562229986,0.16605443743359746,0.01976,0.0,0.808033,2.4927380980139087,-0.22897752794513035,0.0927070114247404,0.45584114377700147,2.499478015596199,11.0,3.95,0.02,397.0,0.3712500035762787,0.3648572862148285,1063.5142713785172,1.6788772578803959,10.693602590590428,0.27573098328582674
2014-01-31,2014-02-12,0.006,0.005,0.001,20.0,0.005,0.0,0.0,2014-02-11,0.20805627773310723,0.01976,-0.18829627773310723,0.2,0.1495091090317392,0.01976,-0.1297491090317392,0.21182879085915313,0.046167221474816514,0.3031772211567021,0.1179425244875578,0.01976,0.0,0.808033,2.4927380980139087,-0.19206879085915313,0.046167221474813926,0.504855778843298,2.479489242913326,7.5,10.25,0.14,1039.0,0.4074999988079071,0.42223548889160156,707.7764511108398,-0.31879071115414837,25.496932589925674,0.5638983829140962
2014-04-30,2014-05-06,0.006,0.004,0.002,50.0,0.006,-0.002,-0.3333333333333333,2014-05-05,0.20649603836747482,0.01976,-0.18673603836747482,0.5,0.20805627773310723,0.01976,-0.18829627773310723,0.19971037048076729,0.03451887652242288,0.2703567676429829,0.08829641900194671,0.01976,0.0,0.808033,2.4927380980139087,-0.17995037048076729,0.0345188765224195,0.5376762323570171,2.466629390961329,10.0,10.25,0.02,1027.0,0.4702500104904175,0.4274573028087616,957.2542697191238,-0.06791210348673433,21.83944661540688,1.5145881221839566
2014-07-31,2014-08-07,0.006,0.005,0.001,20.0,0.006,-0.001,-0.16666666666666666,2014-08-06,0.22072721236778006,5.77571,5.55498278763222,0.2,0.20649603836747482,0.01976,-0.18673603836747482,0.19490149314253027,0.02766666839871206,0.25159970082766925,0.07459772491077726,1.17095,2.574139095017983,1.3836280000000003,2.9186571006611928,0.9760485068574697,2.5598108818334597,1.1320282991723307,2.897149819019936,10.0,9.75,0.12,986.9999999999999,0.44475001096725464,0.4520275890827179,954.7972410917282,-0.03262690872165317,22.19224228580557,0.25765698710123786
2014-10-31,2014-11-06,0.008,0.007,0.001,14.2857,0.006,0.001,0.16666666666666666,2014-11-05,0.2681767025716896,0.01976,-0.24841670257168957,0.14285714285714285,0.22072721236778006,5.77571,5.55498278763222,0.21059306801435818,0.04234692094018463,0.249586881636853,0.07376418612458654,1.17095,2.574139095017983,1.3836280000000003,2.9186571006611928,0.9603569319856419,2.5688167564303948,1.1340411183631471,2.8960754341441155,11.0,9.8,0.02,982.0,0.5042499899864197,0.47290515899658203,1052.7094841003418,0.07200558462356599,19.474467416974008,1.018783023686141
2015-01-31,2015-02-11,0.009,0.007,0.002,28.5714,0.008,-0.001,-0.125,2015-02-10,0.25029162863152005,0.01976,-0.23053162863152005,0.2857142857142857,0.2681767025716896,0.01976,-0.24841670257168957,0.23074957193431436,0.027323750068233503,0.23974354993972238,0.06512690649289751,1.17095,2.574139095017983,0.595355,1.8201912098046182,0.9402004280656856,2.579880378639926,0.3556114500602776,1.8280211573139973,12.0,9.05,0.01,906.0,0.5249999761581421,0.5353798270225525,1146.4620172977448,0.26541061511892355,17.257143640842603,0.310794843432486
2015-04-30,2015-05-07,0.006,0.006,0.0,0.0,0.009,-0.002999999999999999,-0.33333333333333326,2015-05-06,0.2848894370707294,0.01976,-0.2651294370707294,0.0,0.25029162863152005,0.01976,-0.23053162863152005,0.2461162038018388,0.03248777382220794,0.22897249733049593,0.041748636521004516,1.17095,2.574139095017983,0.5953550000000001,1.8201912098046182,0.9248337961981612,2.588496941966584,0.366382502669504,1.8235639645751869,12.0,11.85,0.13,1198.0,0.5502499938011169,0.5017884969711304,1149.821150302887,-0.040216068194585175,21.771922098976102,1.4635343624297388
2015-07-31,2015-08-06,0.004,0.003,0.001,33.3333,0.006,-0.003,-0.5,2015-08-05,0.2654238696945694,3.70747,3.4420461303054304,0.3333333333333333,0.2848894370707294,0.01976,-0.2651294370707294,0.25790177006725773,0.024136861767262794,0.22880607027401245,0.041582797182857,1.908492,2.6876394199873612,0.9641259999999999,2.049712555106203,1.6505902299327424,2.705014977158686,0.7353199297259876,2.0453303873936397,12.0,8.9,0.01,891.0,0.5132499933242798,0.5561438202857971,1144.3856179714203,0.2843834096200003,17.35996125843204,1.2741497133129591
2015-10-31,2015-11-05,0.011,0.006,0.005,83.3333,0.004,0.002,0.5,2015-11-04,0.3515145808331914,0.01976,-0.3317545808331914,0.8333333333333334,0.2654238696945694,3.70747,3.4420461303054304,0.28405924376034,0.039656953467245515,0.23948036845143514,0.056984632657916624,0.7573019999999999,1.6491940482611496,0.964126,2.049712555106203,0.47324275623966,1.660052592668782,0.7246456315485649,2.0511693007174987,14.0,14.45,0.01,1446.0,0.7042499780654907,0.766760528087616,1323.3239471912384,-0.08483821079444094,20.532482002655186,1.3499865329908969
2016-01-31,2016-02-17,0.009,0.008,0.001,12.5,0.011,-0.002999999999999999,-0.27272727272727265,2016-02-16,0.38130047464412725,0.01976,-0.36154047464412725,0.125,0.3515145808331914,0.01976,-0.3317545808331914,0.30668399817482744,0.056865851222017705,0.25863853309459284,0.06927530756260063,0.757302,1.6491940482611496,0.964126,2.049712555106203,0.4506180018251724,1.6730667733399558,0.7054874669054072,2.0613229912146185,15.0,13.0,0.01,1301.0,0.6832500100135803,0.7425934672355652,1425.7406532764435,0.09588059437082512,19.041346226605125,1.3221545045128456
2016-04-30,2016-05-12,0.008,0.008,0.0,0.0,0.009,-0.0009999999999999992,-0.11111111111111102,2016-05-11,0.3564143663642626,2.18556,1.8291456336357377,0.0,0.38130047464412725,0.01976,-0.36154047464412725,0.327908545721376,0.0499387205122137,0.27932905882784514,0.0637368879458012,1.1904620000000001,1.6909449148390374,1.180706,2.0532602513358005,0.8625534542786241,1.7164301063450333,0.9013769411721547,2.0662024463461504,26.0,10.9,0.15,1105.0,0.9079999923706055,1.0033622980117798,2499.663770198822,1.2621391585509703,12.169603626483159,1.5853484765022932
2016-07-31,2016-08-11,0.01,0.009,0.001,11.1111,0.008,0.0009999999999999992,0.12499999999999989,2016-08-10,0.3490021783430355,0.01976,-0.3292421783430355,0.11111111111111112,0.3564143663642626,2.18556,1.8291456336357377,0.34073109397583723,0.044010544574509224,0.293423648888838,0.06177870680750208,1.1904620000000001,1.6909449148390374,1.1807060000000003,2.0532602513358005,0.8497309060241628,1.7271664133520708,0.8872823511111619,2.074923882464888,37.0,22.05,0.3,2235.0,1.4704999923706055,1.5474913120269775,3545.2508687973022,0.5862419994618802,15.198912013572592,0.8101180060426003
2016-10-31,2016-11-10,0.021,0.014,0.007,50.0,0.01,0.004,0.4,2016-11-09,0.34583019775532947,1.83435,1.4885198022446704,0.5,0.3490021783430355,0.01976,-0.3292421783430355,0.35681235958798924,0.014225851880831324,0.3073570648276235,0.05537559995077645,0.8158380000000001,1.0971241495017778,1.362165,2.019160444740723,0.4590256404120108,1.1019432025579505,1.0548079351723765,2.046001651480956,54.0,16.9,0.13,1702.9999999999998,1.78725004196167,2.163447380065918,5183.655261993408,2.04383749970253,9.528605175640685,3.0324248422477846
2017-01-31,2017-02-09,0.025,0.021,0.004,19.0476,0.021,0.0,0.0,2017-02-08,0.3120464494432042,3.37577,3.063723550556796,0.19047619047619047,0.34583019775532947,1.83435,1.4885198022446704,0.3489187333099918,0.02486902199129532,0.3164889885351659,0.04628588975538724,1.4870400000000001,1.4561659105507174,1.122171,1.5162942598867657,1.1381212666900082,1.4756675424452115,0.8056820114648341,1.521645155348397,75.0,45.75,0.14,4589.0,2.9714999198913574,2.798440456390381,7220.155954360962,0.5733615067249862,15.44337918127146,0.9525429663508872
2017-04-30,2017-05-09,0.02,0.016,0.004,25.0,0.025,-0.009000000000000001,-0.36000000000000004,2017-05-08,0.2928659120462741,0.01976,-0.2731059120462741,0.25,0.3120464494432042,3.37577,3.063723550556796,0.3312318207904212,0.02740018360627718,0.3189579094826243,0.04402583758477147,1.48704,1.4561659105507174,1.122171,1.5162942598867657,1.155808179209579,1.4535638496911152,0.8032130905173757,1.5235643201399194,80.0,23.9,0.12,2402.0,2.575000047683716,3.153883695602417,7684.611630439758,2.1992554664611816,9.328155167067534,3.219113030504651
2017-07-31,2017-08-10,0.023,0.017,0.006,35.2941,0.02,-0.002999999999999999,-0.14999999999999997,2017-08-09,0.42718371616291106,0.01976,-0.40742371616291106,0.3529411764705882,0.2928659120462741,0.01976,-0.2731059120462741,0.34538569075015085,0.051415040835442266,0.33664711823576343,0.04866341931850846,1.0538800000000001,1.5172770936944904,1.1221710000000003,1.5162942598867657,0.7084943092498492,1.5363311492318672,0.7855238817642365,1.5378599268206894,110.0,62.75,0.03,6278.0,4.303999900817871,3.8501663208007812,10614.983367919922,0.6908224542720487,14.586431562898081,1.768871841634733
2017-10-31,2017-11-09,0.033,0.024,0.009,37.5,0.023,0.0010000000000000009,0.04347826086956526,2017-11-08,0.3544772657859428,0.01976,-0.3347172657859428,0.37499999999999994,0.42718371616291106,0.01976,-0.40742371616291106,0.34648070823873234,0.05156939047065913,0.3436059011072848,0.04529896421365615,1.0538800000000001,1.5172770936944904,1.1221710000000003,1.5162942598867657,0.7073992917612678,1.5372573774169191,0.7785650988927151,1.5432902073306276,125.0,86.05,0.03,8608.0,5.131750106811523,5.340523719787598,11965.94762802124,0.39009614637793216,16.774004619933358,0.6330272834878685
